symbol,market,was_below_3months,golden_cross_detected,cross_date,ma60_uptrend,ma120_uptrend,currently_above,current_price,ma60_current,ma120_current,ma60_slope,ma120_slope,meets_all_conditions
MSFT,NASDAQ,False,False,,True,True,True,520.1699829101562,494.5614990234375,446.00092493693035,1.1099665832518921,0.9388578796386514,False
GOOG,NASDAQ,False,False,,True,True,True,204.91000366210938,182.6835075378418,172.69524955749512,0.6222529856363689,0.16807786305743572,False
ADBE,NASDAQ,True,False,,False,False,False,354.8500061035156,379.7651652018229,385.132332611084,-1.1208666483561873,-0.8452833811442567,False
GOOGL,NASDAQ,False,False,,True,True,True,203.89999389648438,181.6670166015625,171.22505073547364,0.6285166931152347,0.17647979736327762,False
PYPL,NASDAQ,False,False,,False,False,True,69.2300033569336,72.35050036112467,69.76804211934407,-0.045716679890951836,-0.058774992624926754,False
AMZN,NASDAQ,False,False,,True,True,True,231.02999877929688,218.3860008239746,205.85125045776368,0.36314994812008033,0.06213328043617535,False
META,NASDAQ,False,False,,True,True,True,785.22998046875,711.4673645019532,649.7256675720215,2.3962396240233867,0.8079321797688177,False
TSLA,NASDAQ,False,False,,False,False,True,330.55999755859375,323.7514984130859,297.72650006612145,-0.1363501485189085,-0.07591664632162415,False
NVDA,NASDAQ,False,False,,True,True,True,180.4499969482422,158.93126805623373,136.66342372894286,0.7780230712890487,0.3796916453043445,False
AAPL,NASDAQ,True,False,,True,False,False,231.58999633789062,207.90721588134767,209.96772473653158,0.3774114990234249,-0.1093899536133013,False
NFLX,NASDAQ,False,False,,True,True,True,1238.949951171875,1226.579168701172,1117.201333618164,0.5732497151690965,1.7389915974933805,False
TMUS,NASDAQ,False,False,,True,False,False,254.6300048828125,237.05704676310222,245.8654534657796,0.17118659973141875,-0.09902252197267876,False
COST,NASDAQ,False,False,,False,False,True,972.0399780273438,981.7850443522135,976.5779719034831,-0.7859570312502072,-0.49053476969416376,False
AVGO,NASDAQ,False,False,,True,True,True,306.3399963378906,271.6305793762207,230.77886199951172,1.330592905680312,0.7513486989339171,False
CMCSA,NASDAQ,True,False,,False,False,False,33.45000076293945,34.23019975026448,34.453177738189694,-0.037931734720871205,-0.023625774383549465,False
QCOM,NASDAQ,False,False,,True,False,True,157.85000610351562,153.95536677042642,150.87000058492023,0.07480756123858655,-0.08644077301026729,False
PEP,NASDAQ,True,False,,True,True,False,150.39999389648438,135.99890225728353,138.78955192565917,0.30807309468586264,0.008960380554176634,False
CSCO,NASDAQ,False,False,,True,True,True,66.19999694824219,66.97037512461344,63.171247545878096,0.10015597661334788,0.05018450101215978,False
INTC,NASDAQ,False,False,,True,False,False,24.559999465942383,21.48699992497762,21.519666608174642,0.027033335367839532,-0.018233337402345975,False
