Symbol,Name,Market,Country,Exchange
ASSA-B.ST,ASSA ABLOY AB (publ),Stockholm,SE,STO
ATCO-A.ST,Atlas Copco AB (publ),Stockholm,SE,STO
ATCO-B.ST,Atlas Copco AB (publ),Stockholm,SE,STO
ALFA.ST,Alfa Laval AB (publ),Stockholm,SE,STO
BOL.ST,Boliden AB (publ),Stockholm,SE,STO
ELUX-B.ST,AB Electrolux (publ),Stockholm,SE,STO
ESSITY-B.ST,Essity AB (publ),Stockholm,SE,STO
EVO.ST,Evolution AB (publ),Stockholm,SE,STO
GETI-B.ST,Getinge AB (publ),Stockholm,SE,STO
HM-B.ST,H & M Hennes & Mauritz AB (publ),Stockholm,SE,STO
HEXA-B.ST,Hexagon AB (publ),Stockholm,SE,STO
INVE-B.ST,Investor AB (publ),Stockholm,SE,STO
KINV-B.ST,Kinnevik AB,Stockholm,SE,STO
NDA-SE.ST,Nordea Bank Abp,Stockholm,SE,STO
SAND.ST,Sandvik AB (publ),Stockholm,SE,STO
SCA-B.ST,Svenska Cellulosa Aktiebolaget SCA (publ),Stockholm,SE,STO
SEB-A.ST,Skandinaviska Enskilda Banken AB (publ),Stockholm,SE,STO
SECU-B.ST,Securitas AB (publ),Stockholm,SE,STO
SKF-B.ST,AB SKF (publ),Stockholm,SE,STO
SWED-A.ST,Swedbank AB (publ),Stockholm,SE,STO
SHB-A.ST,Svenska Handelsbanken AB (publ),Stockholm,SE,STO
TEL2-B.ST,Tele2 AB (publ),Stockholm,SE,STO
VOLV-A.ST,AB Volvo (publ),Stockholm,SE,STO
VOLV-B.ST,AB Volvo (publ),Stockholm,SE,STO
WALL-B.ST,Wallenstam AB (publ),Stockholm,SE,STO
SINCH.ST,Sinch AB (publ),Stockholm,SE,STO
ABB.ST,ABB Ltd,Stockholm,SE,STO
CAST.ST,Castellum AB (publ),Stockholm,SE,STO
DUST.ST,Dustin Group AB (publ),Stockholm,SE,STO
FABG.ST,Fabege AB (publ),Stockholm,SE,STO
FING-B.ST,Fingerprint Cards AB (publ),Stockholm,SE,STO
HUSQ-B.ST,Husqvarna AB (publ),Stockholm,SE,STO
LATO-B.ST,Investment AB Latour (publ),Stockholm,SE,STO
LIFCO-B.ST,Lifco AB (publ),Stockholm,SE,STO
LUND-B.ST,L E Lundbergföretagen AB (publ),Stockholm,SE,STO
NCC-B.ST,NCC AB (publ),Stockholm,SE,STO
PEAB-B.ST,Peab AB (publ),Stockholm,SE,STO
RROS.ST,Rottneros AB (publ),Stockholm,SE,STO
SAGA-B.ST,AB Sagax (publ),Stockholm,SE,STO
SAAB-B.ST,Saab AB (publ),Stockholm,SE,STO
SKA-B.ST,Skanska AB (publ),Stockholm,SE,STO
SSAB-A.ST,SSAB AB (publ),Stockholm,SE,STO
TELIA.ST,Telia Company AB (publ),Stockholm,SE,STO
THULE.ST,Thule Group AB (publ),Stockholm,SE,STO
