ticker,name,sector,market_cap,market
095570.KS,AJ네트웍스,기타,0,KOSPI
006840.KS,AK홀딩스,기타,0,KOSPI
282330.KS,BGF리테일,기타,0,KOSPI
027410.KS,BGF,기타,0,KOSPI
138930.KS,BNK금융지주,기타,0,KOSPI
001465.KS,BYC우,기타,0,KOSPI
001460.KS,BYC,기타,0,KOSPI
001045.KS,CJ우,기타,0,KOSPI
000104.KS,CJ4우(전환),기타,0,KOSPI
001040.KS,CJ,기타,0,KOSPI
011155.KS,CJ씨푸드1우,기타,0,KOSPI
011150.KS,CJ씨푸드,기타,0,KOSPI
000590.KS,CS홀딩스,기타,0,KOSPI
012030.KS,DB,기타,0,KOSPI
005830.KS,DB손해보험,기타,0,KOSPI
016610.KS,DB증권,기타,0,KOSPI
000990.KS,DB하이텍,기타,0,KOSPI
001530.KS,DI동일,기타,0,KOSPI
000215.KS,DL우,기타,0,KOSPI
000210.KS,DL,기타,0,KOSPI
037550.KS,DL이앤씨우,기타,0,KOSPI
375500.KS,DL이앤씨,기타,0,KOSPI
155660.KS,DSR,기타,0,KOSPI
069730.KS,DSR제강,기타,0,KOSPI
017860.KS,DS단석,기타,0,KOSPI
017940.KS,E1,기타,0,KOSPI
365550.KS,ESR켄달스퀘어리츠,기타,0,KOSPI
383220.KS,F&F,기타,0,KOSPI
007700.KS,F&F홀딩스,기타,0,KOSPI
078935.KS,GS우,기타,0,KOSPI
006360.KS,GS건설,기타,0,KOSPI
078930.KS,GS,기타,0,KOSPI
012630.KS,HDC,기타,0,KOSPI
294870.KS,HDC현대산업개발,기타,0,KOSPI
097230.KS,HJ중공업,기타,0,KOSPI
014790.KS,HL D&I,기타,0,KOSPI
204320.KS,HL만도,기타,0,KOSPI
060980.KS,HL홀딩스,기타,0,KOSPI
035000.KS,HS애드,기타,0,KOSPI
003560.KS,IHQ,기타,0,KOSPI
015360.KS,INVENI,기타,0,KOSPI
175330.KS,JB금융지주,기타,0,KOSPI
234080.KS,JW생명과학,기타,0,KOSPI
001065.KS,JW중외제약우,기타,0,KOSPI
001067.KS,JW중외제약2우B,기타,0,KOSPI
001060.KS,JW중외제약,기타,0,KOSPI
096760.KS,JW홀딩스,기타,0,KOSPI
105560.KS,KB금융,기타,0,KOSPI
432320.KS,KB스타리츠,기타,0,KOSPI
009070.KS,KCTC,기타,0,KOSPI
003620.KS,KG모빌리티,기타,0,KOSPI
016380.KS,KG스틸,기타,0,KOSPI
001390.KS,KG케미칼,기타,0,KOSPI
033180.KS,KH 필룩스,기타,0,KOSPI
001940.KS,KISCO홀딩스,기타,0,KOSPI
025000.KS,KPX케미칼,기타,0,KOSPI
092230.KS,KPX홀딩스,기타,0,KOSPI
000040.KS,KR모터스,기타,0,KOSPI
093050.KS,LF,기타,0,KOSPI
003555.KS,LG우,기타,0,KOSPI
034220.KS,LG디스플레이,기타,0,KOSPI
003550.KS,LG,기타,0,KOSPI
051905.KS,LG생활건강우,기타,0,KOSPI
051900.KS,LG생활건강,기타,0,KOSPI
373220.KS,LG에너지솔루션,기타,0,KOSPI
032640.KS,LG유플러스,기타,0,KOSPI
011070.KS,LG이노텍,기타,0,KOSPI
066575.KS,LG전자우,기타,0,KOSPI
066570.KS,LG전자,기타,0,KOSPI
051915.KS,LG화학우,기타,0,KOSPI
051910.KS,LG화학,기타,0,KOSPI
079550.KS,LIG넥스원,기타,0,KOSPI
010120.KS,LS ELECTRIC,기타,0,KOSPI
000680.KS,LS네트웍스,기타,0,KOSPI
006260.KS,LS,기타,0,KOSPI
229640.KS,LS에코에너지,기타,0,KOSPI
108320.KS,LX세미콘,기타,0,KOSPI
