ticker,name,market_cap,price,sector,market
AZN,AstraZeneca PLC,"2,396.56B","1,557.50",Unknown,OMX Stockholm
ABB,ABB Ltd,"1,164.52B",636.00,Unknown,OMX Stockholm
INVE.A,Investor AB (publ),905.22B,293.90,Unknown,OMX Stockholm
INVE.B,Investor AB (publ),905.22B,293.65,Unknown,OMX Stockholm
ATCO.A,Atlas Copco AB (publ),702.06B,149.20,Unknown,OMX Stockholm
ATCO.B,Atlas Copco AB (publ),702.06B,132.80,Unknown,OMX Stockholm
VOLV.A,AB Volvo (publ),602.79B,292.80,Unknown,OMX Stockholm
VOLV.B,AB Volvo (publ),602.79B,293.60,Unknown,OMX Stockholm
NDA.SE,Nordea Bank Abp,522.11B,148.90,Unknown,OMX Stockholm
EQT,EQT AB (publ),395.25B,336.40,Unknown,OMX Stockholm
DNBO,DNB Bank ASA,380.22B,267.80,Unknown,OMX Stockholm
ASSA.B,ASSA ABLOY AB (publ),373.55B,335.00,Unknown,OMX Stockholm
SEB.A,Skandinaviska Enskilda Banken AB (publ),352.02B,178.60,Unknown,OMX Stockholm
SEB.C,Skandinaviska Enskilda Banken AB (publ),351.91B,180.00,Unknown,OMX Stockholm
SWED.A,Swedbank AB (publ),307.14B,275.30,Unknown,OMX Stockholm
SAND,Sandvik AB (publ),302.31B,239.00,Unknown,OMX Stockholm
SAMPO.SDB,Sampo Oyj,298.35B,110.20,Unknown,OMX Stockholm
HEXA.B,Hexagon AB (publ),288.03B,106.75,Unknown,OMX Stockholm
SAAB.B,Saab AB (publ),273.15B,509.00,Unknown,OMX Stockholm
SHB.A,Svenska Handelsbanken AB (publ),252.56B,126.10,Unknown,OMX Stockholm
SHB.B,Svenska Handelsbanken AB (publ),251.86B,207.80,Unknown,OMX Stockholm
ERIC.A,Telefonaktiebolaget LM Ericsson (publ),247.49B,74.30,Unknown,OMX Stockholm
ERIC.B,Telefonaktiebolaget LM Ericsson (publ),246.95B,74.06,Unknown,OMX Stockholm
KOGO,Kongsberg Gruppen ASA,236.32B,292.65,Unknown,OMX Stockholm
HM.B,H & M Hennes & Mauritz AB (publ),228.64B,142.60,Unknown,OMX Stockholm
EPI.A,Epiroc AB (publ),228.19B,196.45,Unknown,OMX Stockholm
EPI.B,Epiroc AB (publ),228.19B,173.90,Unknown,OMX Stockholm
NOKIA.SEK,Nokia Oyj,219.48B,40.49,Unknown,OMX Stockholm
ALFA,Alfa Laval AB (publ),180.83B,435.20,Unknown,OMX Stockholm
8TRA,Traton SE,175.35B,351.80,Unknown,OMX Stockholm
ESSITY.A,Essity AB (publ),175.26B,254.50,Unknown,OMX Stockholm
ESSITY.B,Essity AB (publ),174.80B,254.30,Unknown,OMX Stockholm
EVO,Evolution AB (publ),172.82B,855.00,Unknown,OMX Stockholm
INDU.A,AB Industrivärden (publ),162.56B,374.00,Unknown,OMX Stockholm
INDU.C,AB Industrivärden (publ),162.56B,374.10,Unknown,OMX Stockholm
LIFCO.B,Lifco AB (publ),157.34B,346.40,Unknown,OMX Stockholm
LATO.B,Investment AB Latour (publ),156.44B,244.70,Unknown,OMX Stockholm
TELIA,Telia Company AB (publ),140.73B,35.91,Unknown,OMX Stockholm
