ticker,name,sector,market_cap,market
005930.KS,"Samsung Electronics Co., Ltd.",Technology,471335650197504,KOSPI
005935.KS,"Samsung Electronics Co., Ltd.",Technology,471335583088640,KOSPI
000660.KS,SK hynix Inc.,Technology,190880392675328,KOSPI
373220.KS,"LG Energy Solution, Ltd.",Industrials,92196002856960,KOSPI
207940.KS,"Samsung Biologics Co.,Ltd.",Healthcare,73522743345152,KOSPI
005380.KS,Hyundai Motor Company,Consumer Cyclical,53731634708480,KOSPI
005389.KS,Hyundai Motor Company,Consumer Cyclical,53731563405312,KOSPI
005385.KS,Hyundai Motor Company,Consumer Cyclical,53731542433792,KOSPI
005387.KS,Hyundai Motor Company,Consumer Cyclical,53731500490752,KOSPI
012450.KS,"Hanwha Aerospace Co., Ltd.",Industrials,45429290958848,KOSPI
329180.KS,"HD Hyundai Heavy Industries Co.,Ltd.",Industrials,42344770437120,KOSPI
034020.KS,"Doosan Enerbility Co., Ltd.",Industrials,41950459723776,KOSPI
105560.KS,KB Financial Group Inc.,Financial Services,41222005587968,KOSPI
000270.KS,Kia Corporation,Consumer Cyclical,40826587578368,KOSPI
068270.KS,"Celltrion, Inc.",Healthcare,39622449037312,KOSPI
055550.KS,"Shinhan Financial Group Co., Ltd.",Financial Services,33547704336384,KOSPI
035420.KS,NAVER Corporation,Communication Services,33517626982400,KOSPI
042660.KS,"Hanwha Ocean Co., Ltd.",Industrials,32661919760384,KOSPI
035720.KS,Kakao Corp.,Communication Services,28315071021056,KOSPI
012330.KS,"Hyundai Mobis Co.,Ltd",Consumer Cyclical,26830463565824,KOSPI
009540.KS,"HD Korea Shipbuilding & Offshore Engineering Co., Ltd.",Industrials,26765477019648,KOSPI
028260.KS,Samsung C&T Corporation,Industrials,26748972433408,KOSPI
015760.KS,Korea Electric Power Corporation,Utilities,24940302565376,KOSPI
086790.KS,Hana Financial Group Inc.,Financial Services,23644990341120,KOSPI
196170.KQ,ALTEOGEN Inc.,Healthcare,23289959284736,KOSDAQ
005490.KS,POSCO Holdings Inc.,Basic Materials,23253395439616,KOSPI
032830.KS,"Samsung Life Insurance Co., Ltd.",Financial Services,23075389177856,KOSPI
011200.KS,"HMM Co.,Ltd",Industrials,22653383475200,KOSPI
138040.KS,Meritz Financial Group Inc.,Financial Services,21440187334656,KOSPI
051910.KS,"LG Chem, Ltd.",Basic Materials,21020232646656,KOSPI
051915.KS,"LG Chem, Ltd.",Basic Materials,21020167634944,KOSPI
064350.KS,Hyundai Rotem Company,Industrials,19612817162240,KOSPI
402340.KS,"SK Square Co., Ltd.",Technology,19003894398976,KOSPI
316140.KS,Woori Financial Group Inc.,Financial Services,18680859590656,KOSPI
000815.KS,"Samsung Fire & Marine Insurance Co., Ltd.",Financial Services,18473228959744,KOSPI
000810.KS,"Samsung Fire & Marine Insurance Co., Ltd.",Financial Services,18473224765440,KOSPI
267260.KS,"HD Hyundai Electric Co., Ltd.",Industrials,17546440867840,KOSPI
006400.KS,"Samsung SDI Co., Ltd.",Industrials,17509474369536,KOSPI
006405.KS,"Samsung SDI Co., Ltd.",Industrials,17509419843584,KOSPI
