ticker,name,market_cap,price,sector,market
AZN.ST,AstraZeneca PLC,2405055070208,0,Healthcare,OMX Stockholm
ABB.ST,ABB Ltd,1172603011072,0,Industrials,OMX Stockholm
KOGO.ST,Kongsberg Gruppen ASA,995198369792,0,Unknown,OMX Stockholm
INVE-B.ST,Investor AB (publ),907796021248,0,Financial Services,OMX Stockholm
INVE-A.ST,Investor AB (publ),907629494272,0,Financial Services,OMX Stockholm
ATCO-B.ST,Atlas Copco AB (publ),734205247488,0,Industrials,OMX Stockholm
ATCO-A.ST,Atlas Copco AB (publ),733475176448,0,Industrials,OMX Stockholm
VOLV-A.ST,AB Volvo (publ),582727630848,0,Industrials,OMX Stockholm
VOLV-B.ST,AB Volvo (publ),582312394752,0,Industrials,OMX Stockholm
NDA-SE.ST,Nordea Bank Abp,502810476544,0,Financial Services,OMX Stockholm
EQT.ST,EQT AB (publ),404660125696,0,Financial Services,OMX Stockholm
ASSA-B.ST,ASSA ABLOY AB (publ),374837477376,0,Industrials,OMX Stockholm
SEB-C.ST,Skandinaviska Enskilda Banken AB (publ),354234236928,0,Financial Services,OMX Stockholm
SEB-A.ST,Skandinaviska Enskilda Banken AB (publ),353736130560,0,Financial Services,OMX Stockholm
DNBO.ST,DNB Bank ASA,335814131712,0,Unknown,OMX Stockholm
SAND.ST,Sandvik AB (publ),303753723904,0,Industrials,OMX Stockholm
SWED-A.ST,Swedbank AB (publ),301964853248,0,Financial Services,OMX Stockholm
SAAB-B.ST,Saab AB (publ),290766716928,0,Industrials,OMX Stockholm
SAMPO-SDB.ST,Sampo Oyj,287597854720,0,Financial Services,OMX Stockholm
HEXA-B.ST,Hexagon AB (publ),285873078272,0,Technology,OMX Stockholm
ERIC-A.ST,Telefonaktiebolaget LM Ericsson (publ),250859847680,0,Technology,OMX Stockholm
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),250459193344,0,Technology,OMX Stockholm
SHB-A.ST,Svenska Handelsbanken AB (publ),242313084928,0,Financial Services,OMX Stockholm
SHB-B.ST,Svenska Handelsbanken AB (publ),241948606464,0,Financial Services,OMX Stockholm
EPI-B.ST,Epiroc AB (publ),236115492864,0,Industrials,OMX Stockholm
EPI-A.ST,Epiroc AB (publ),234962124800,0,Industrials,OMX Stockholm
HM-B.ST,H & M Hennes & Mauritz AB (publ),228006559744,0,Consumer Cyclical,OMX Stockholm
NOKIA-SEK.ST,Nokia Oyj,226265333760,0,Technology,OMX Stockholm
ALFA.ST,Alfa Laval AB (publ),180326006784,0,Industrials,OMX Stockholm
ESSITY-A.ST,Essity AB (publ),175658532864,0,Consumer Defensive,OMX Stockholm
ESSITY-B.ST,Essity AB (publ),175312060416,0,Consumer Defensive,OMX Stockholm
8TRA.ST,Traton SE,171729453056,0,Industrials,OMX Stockholm
INDU-A.ST,AB Industrivärden (publ),164007952384,0,Financial Services,OMX Stockholm
INDU-C.ST,AB Industrivärden (publ),163919478784,0,Financial Services,OMX Stockholm
EVO.ST,Evolution AB (publ),163280666624,0,Consumer Cyclical,OMX Stockholm
LATO-B.ST,Investment AB Latour (publ),154366787584,0,Industrials,OMX Stockholm
LIFCO-B.ST,Lifco AB (publ),153173950464,0,Industrials,OMX Stockholm
LUG.ST,Lundin Gold Inc.,150572449792,0,Basic Materials,OMX Stockholm
TELIA.ST,Telia Company AB (publ),138915397632,0,Communication Services,OMX Stockholm
LUND-B.ST,L E Lundbergföretagen AB (publ),121557794816,0,Industrials,OMX Stockholm
TEL2-B.ST,Tele2 AB (publ),116199186432,0,Communication Services,OMX Stockholm
TEL2-A.ST,Tele2 AB (publ),115882967040,0,Communication Services,OMX Stockholm
SKF-A.ST,AB SKF (publ),111584083968,0,Industrials,OMX Stockholm
SKF-B.ST,AB SKF (publ),111304425472,0,Industrials,OMX Stockholm
SOBI.ST,Swedish Orphan Biovitrum AB (publ),99382181888,0,Healthcare,OMX Stockholm
LUMI.ST,Lundin Mining Corporation,98290966528,0,Basic Materials,OMX Stockholm
SKA-B.ST,Skanska AB (publ),97302798336,0,Industrials,OMX Stockholm
BOL.ST,Boliden AB (publ),96813907968,0,Basic Materials,OMX Stockholm
ALIV-SDB.ST,"Autoliv, Inc.",91245092864,0,Consumer Cyclical,OMX Stockholm
SCA-A.ST,Svenska Cellulosa Aktiebolaget SCA (publ),90814062592,0,Basic Materials,OMX Stockholm
SCA-B.ST,Svenska Cellulosa Aktiebolaget SCA (publ),90565558272,0,Basic Materials,OMX Stockholm
ADDT-B.ST,Addtech AB (publ.),89353699328,0,Industrials,OMX Stockholm
STE-A.ST,Stora Enso Oyj,87856095232,0,Basic Materials,OMX Stockholm
INDT.ST,Indutrade AB (publ),86437199872,0,Industrials,OMX Stockholm
STE-R.ST,Stora Enso Oyj,86350790656,0,Basic Materials,OMX Stockholm
TREL-B.ST,Trelleborg AB (publ),85000667136,0,Industrials,OMX Stockholm
SECU-B.ST,Securitas AB (publ),84529201152,0,Industrials,OMX Stockholm
BEIJ-B.ST,Beijer Ref AB (publ),83484221440,0,Industrials,OMX Stockholm
BALD-B.ST,Fastighets AB Balder (publ),81978384384,0,Real Estate,OMX Stockholm
NIBE-B.ST,NIBE Industrier AB (publ),78117896192,0,Industrials,OMX Stockholm
SAGA-B.ST,AB Sagax (publ),73552953344,0,Real Estate,OMX Stockholm
SAGA-A.ST,AB Sagax (publ),73217794048,0,Real Estate,OMX Stockholm
SAGA-D.ST,AB Sagax (publ),72890892288,0,Real Estate,OMX Stockholm
AAK.ST,AAK AB (publ.),70134382592,0,Consumer Defensive,OMX Stockholm
SAVE.ST,Nordnet AB (publ),69477040128,0,Financial Services,OMX Stockholm
AXFO.ST,Axfood AB (publ),65597100032,0,Consumer Defensive,OMX Stockholm
SECT-B.ST,Sectra AB (publ),65420873728,0,Healthcare,OMX Stockholm
VOLCAR-B.ST,Volvo Car AB (publ.),58115780608,0,Consumer Cyclical,OMX Stockholm
SWEC-B.ST,Sweco AB (publ),57952493568,0,Industrials,OMX Stockholm
GETI-B.ST,Getinge AB (publ),57172504576,0,Healthcare,OMX Stockholm
SWEC-A.ST,Sweco AB (publ),56730005504,0,Industrials,OMX Stockholm
HOLM-B.ST,Holmen AB (publ),56615247872,0,Basic Materials,OMX Stockholm
AZA.ST,Avanza Bank Holding AB (publ),56415154176,0,Financial Services,OMX Stockholm
HOLM-A.ST,Holmen AB (publ),56141910016,0,Basic Materials,OMX Stockholm
SSAB-B.ST,SSAB AB (publ),52838666240,0,Basic Materials,OMX Stockholm
CAST.ST,Castellum AB (publ),52750082048,0,Real Estate,OMX Stockholm
SSAB-A.ST,SSAB AB (publ),52700106752,0,Basic Materials,OMX Stockholm
LAGR-B.ST,Lagercrantz Group AB (publ),46095192064,0,Industrials,OMX Stockholm
CAMX.ST,Camurus AB (publ),42931384320,0,Healthcare,OMX Stockholm
MYCR.ST,Mycronic AB (publ),41141641216,0,Industrials,OMX Stockholm
MCOV-B.ST,Medicover AB (publ),40678379520,0,Healthcare,OMX Stockholm
ASKER.ST,Asker Healthcare Group AB,37123837952,0,Healthcare,OMX Stockholm
PNDX-B.ST,Pandox AB (publ),33201895424,0,Real Estate,OMX Stockholm
ROKO-B.ST,Röko AB (publ),32215701504,0,Financial Services,OMX Stockholm
HUSQ-B.ST,Husqvarna AB (publ),30502039552,0,Industrials,OMX Stockholm
HUSQ-A.ST,Husqvarna AB (publ),30374268928,0,Industrials,OMX Stockholm
BIOA-B.ST,BioArctic AB (publ),29289803776,0,Healthcare,OMX Stockholm
HPOL-B.ST,HEXPOL AB (publ),29084182528,0,Basic Materials,OMX Stockholm
LOOMIS.ST,Loomis AB (publ),28960655360,0,Industrials,OMX Stockholm
WIHL.ST,Wihlborgs Fastigheter AB (publ),28680357888,0,Real Estate,OMX Stockholm
THULE.ST,Thule Group AB (publ),28565807104,0,Consumer Cyclical,OMX Stockholm
WALL-B.ST,Wallenstam AB (publ),28277958656,0,Real Estate,OMX Stockholm
ASMDEE-B.ST,Asmodee Group AB (publ),26760140800,0,Consumer Cyclical,OMX Stockholm
CATE.ST,Catena AB (publ),25963720704,0,Real Estate,OMX Stockholm
FABG.ST,Fabege AB (publ),25349765120,0,Real Estate,OMX Stockholm
HUFV-A.ST,Hufvudstaden AB (publ),25232648192,0,Real Estate,OMX Stockholm
SINCH.ST,Sinch AB (publ),24187879424,0,Communication Services,OMX Stockholm
KINV-B.ST,Kinnevik AB,23711197184,0,Financial Services,OMX Stockholm
HEM.ST,Hemnet Group AB (publ),23701389312,0,Communication Services,OMX Stockholm
MTRS.ST,Munters Group AB (publ),23478339584,0,Industrials,OMX Stockholm
KINV-A.ST,Kinnevik AB,23329603584,0,Financial Services,OMX Stockholm
HAUTOO.ST,"HAUTOO.ST,0P0001OZ21,5317",23006380032,0,Unknown,OMX Stockholm
HMS.ST,HMS Networks AB (publ),22610167808,0,Technology,OMX Stockholm
BILL.ST,Billerud AB (publ),22096013312,0,Basic Materials,OMX Stockholm
ALIF-B.ST,AddLife AB (publ),21997520896,0,Healthcare,OMX Stockholm
BETS-B.ST,Betsson AB (publ),21766580224,0,Consumer Cyclical,OMX Stockholm
BONEX.ST,Bonesupport Holding AB (publ),21252087808,0,Healthcare,OMX Stockholm
PEAB-B.ST,Peab AB (publ),21186879488,0,Industrials,OMX Stockholm
CLAS-B.ST,Clas Ohlson AB (publ),21050736640,0,Consumer Cyclical,OMX Stockholm
TIETOS.ST,TietoEVRY Oyj,21011249152,0,Technology,OMX Stockholm
BURE.ST,Bure Equity AB (publ),20742621184,0,Financial Services,OMX Stockholm
ATRLJ-B.ST,Atrium Ljungberg AB (publ),19725735936,0,Real Estate,OMX Stockholm
IPCO.ST,International Petroleum Corporation,19344887808,0,Energy,OMX Stockholm
SHOT.ST,Scandic Hotels Group AB (publ),19061157888,0,Consumer Cyclical,OMX Stockholm
