ticker,name,sector,market_cap,market
005935.KS,"Samsung Electronics Co., Ltd.",Technology,458783205621760,KOSPI
005930.KS,"Samsung Electronics Co., Ltd.",Technology,458782836523008,KOSPI
000660.KS,SK hynix Inc.,Technology,185702809600000,KOSPI
373220.KS,"LG Energy Solution, Ltd.",Industrials,82368001998848,KOSPI
207940.KS,"Samsung Biologics Co.,Ltd.",Healthcare,71245177552896,KOSPI
005387.KS,Hyundai Motor Company,Consumer Cyclical,54232208113664,KOSPI
005389.KS,Hyundai Motor Company,Consumer Cyclical,54232199725056,KOSPI
005380.KS,Hyundai Motor Company,Consumer Cyclical,54232199725056,KOSPI
005385.KS,Hyundai Motor Company,Consumer Cyclical,54232199725056,KOSPI
329180.KS,"HD Hyundai Heavy Industries Co.,Ltd.",Industrials,46162014896128,KOSPI
012450.KS,"Hanwha Aerospace Co., Ltd.",Industrials,45480738291712,KOSPI
000270.KS,Kia Corporation,Consumer Cyclical,41653356199936,KOSPI
034020.KS,"Doosan Enerbility Co., Ltd.",Industrials,39516693856256,KOSPI
105560.KS,KB Financial Group Inc.,Financial Services,39401245638656,KOSPI
068270.KS,"Celltrion, Inc.",Healthcare,37693073391616,KOSPI
042660.KS,"Hanwha Ocean Co., Ltd.",Industrials,34316463636480,KOSPI
035420.KS,NAVER Corporation,Communication Services,32024637210624,KOSPI
055550.KS,"Shinhan Financial Group Co., Ltd.",Financial Services,31702825041920,KOSPI
009540.KS,"HD Korea Shipbuilding & Offshore Engineering Co., Ltd.",Industrials,28745484206080,KOSPI
012330.KS,"Hyundai Mobis Co.,Ltd",Consumer Cyclical,28439056744448,KOSPI
035720.KS,Kakao Corp.,Communication Services,27479687299072,KOSPI
028260.KS,Samsung C&T Corporation,Industrials,27383113449472,KOSPI
032830.KS,"Samsung Life Insurance Co., Ltd.",Financial Services,25697183596544,KOSPI
196170.KQ,ALTEOGEN Inc.,Healthcare,23369900621824,KOSDAQ
015760.KS,Korea Electric Power Corporation,Utilities,23335391985664,KOSPI
011200.KS,"HMM Co.,Ltd",Industrials,22653383475200,KOSPI
086790.KS,Hana Financial Group Inc.,Financial Services,22521648775168,KOSPI
138040.KS,Meritz Financial Group Inc.,Financial Services,22451851362304,KOSPI
005490.KS,POSCO Holdings Inc.,Basic Materials,21589739438080,KOSPI
064350.KS,Hyundai Rotem Company,Industrials,20966178553856,KOSPI
051915.KS,"LG Chem, Ltd.",Basic Materials,20638118969344,KOSPI
051910.KS,"LG Chem, Ltd.",Basic Materials,20638064443392,KOSPI
402340.KS,"SK Square Co., Ltd.",Technology,19704802443264,KOSPI
000810.KS,"Samsung Fire & Marine Insurance Co., Ltd.",Financial Services,18567235895296,KOSPI
000815.KS,"Samsung Fire & Marine Insurance Co., Ltd.",Financial Services,18567225409536,KOSPI
316140.KS,Woori Financial Group Inc.,Financial Services,18203747024896,KOSPI
010140.KS,"Samsung Heavy Industries Co., Ltd.",Industrials,18193395482624,KOSPI
267260.KS,"HD Hyundai Electric Co., Ltd.",Industrials,17726403772416,KOSPI
096770.KS,"SK Innovation Co., Ltd.",Energy,16825882509312,KOSPI
096775.KS,"SK Innovation Co., Ltd.",Energy,16825856294912,KOSPI
006405.KS,"Samsung SDI Co., Ltd.",Industrials,16176608444416,KOSPI
006400.KS,"Samsung SDI Co., Ltd.",Industrials,16176572792832,KOSPI
024110.KS,Industrial Bank of Korea,Financial Services,15167042617344,KOSPI
010130.KS,"Korea Zinc Company, Ltd.",Basic Materials,14923891474432,KOSPI
259960.KS,"KRAFTON, Inc.",Communication Services,14614392733696,KOSPI
033780.KS,KT&G Corporation,Consumer Defensive,14530493022208,KOSPI
086280.KS,"Hyundai Glovis Co., Ltd.",Industrials,13830000214016,KOSPI
030200.KS,KT Corporation,Communication Services,13041292804096,KOSPI
066570.KS,LG Electronics Inc.,Technology,12664317149184,KOSPI
066575.KS,LG Electronics Inc.,Technology,12664296177664,KOSPI
003670.KS,"Posco Future M Co., Ltd.",Industrials,12564156121088,KOSPI
352820.KS,"HYBE Co., Ltd.",Communication Services,11917675462656,KOSPI
009150.KS,"Samsung Electro-Mechanics Co., Ltd.",Technology,11872217595904,KOSPI
009155.KS,"Samsung Electro-Mechanics Co., Ltd.",Technology,11872201867264,KOSPI
247540.KQ,"EcoPro BM Co., Ltd.",Industrials,11844816207872,KOSDAQ
323410.KS,KakaoBank Corp.,Financial Services,11744344801280,KOSPI
003230.KS,"Samyang Foods Co., Ltd.",Consumer Defensive,11679431655424,KOSPI
298040.KS,Hyosung Heavy Industries Corporation,Industrials,11546557153280,KOSPI
017670.KS,"SK Telecom Co., Ltd.",Communication Services,11543624286208,KOSPI
003550.KS,LG Corp.,Technology,11450501300224,KOSPI
003555.KS,LG Corp.,Technology,11450469842944,KOSPI
018260.KS,"Samsung SDS Co., Ltd.",Technology,11393684209664,KOSPI
034730.KS,SK Inc.,Industrials,11285701853184,KOSPI
079550.KS,"LIG Nex1 Co., Ltd.",Industrials,10668359024640,KOSPI
267250.KS,"HD Hyundai Co., Ltd.",Energy,9688637767680,KOSPI
006800.KS,"Mirae Asset Securities Co., Ltd.",Financial Services,9643768152064,KOSPI
006805.KS,"Mirae Asset Securities Co., Ltd.",Financial Services,9643768152064,KOSPI
443060.KS,HDHMS,Industrials,9548619317248,KOSPI
272210.KS,"Hanwha Systems Co., Ltd.",Industrials,9517943226368,KOSPI
047810.KS,"Korea Aerospace Industries, Ltd.",Industrials,9279630213120,KOSPI
000150.KS,Doosan Corporation,Industrials,9038624456704,KOSPI
000155.KS,Doosan Corporation,Industrials,9038621310976,KOSPI
003490.KS,"Korean Airlines Co.,Ltd.",Industrials,8771682697216,KOSPI
003495.KS,"Korean Airlines Co.,Ltd.",Industrials,8771680600064,KOSPI
278470.KS,"APR Co., Ltd.",Consumer Defensive,8496769138688,KOSPI
000100.KS,Yuhan Corporation,Healthcare,8493545291776,KOSPI
000105.KS,Yuhan Corporation,Healthcare,8493544767488,KOSPI
010120.KS,"LS ELECTRIC Co., Ltd.",Industrials,8450958950400,KOSPI
042700.KS,"HANMI Semiconductor Co., Ltd.",Technology,8252210806784,KOSPI
047050.KS,Posco International Corporation,Industrials,8181311864832,KOSPI
010620.KS,"Hd Hyundai Mipo Co.,Ltd.",Industrials,8156339503104,KOSPI
377300.KS,Kakao Pay Corp.,Technology,8077425246208,KOSPI
005830.KS,"DB Insurance Co., Ltd.",Financial Services,7919737765888,KOSPI
326030.KS,"SK Biopharmaceuticals Co., Ltd.",Healthcare,7721681682432,KOSPI
071055.KS,"Korea Investment Holdings Co., Ltd.",Financial Services,7612579446784,KOSPI
071050.KS,"Korea Investment Holdings Co., Ltd.",Financial Services,7612577349632,KOSPI
021240.KS,"COWAY Co., Ltd.",Consumer Cyclical,7492928536576,KOSPI
090435.KS,Amorepacific Corporation,Consumer Defensive,7456171753472,KOSPI
090430.KS,Amorepacific Corporation,Consumer Defensive,7456170180608,KOSPI
180640.KS,Hanjin Kal,Consumer Cyclical,7414822207488,KOSPI
005940.KS,"NH Investment & Securities Co., Ltd.",Financial Services,7245718880256,KOSPI
005945.KS,"NH Investment & Securities Co., Ltd.",Financial Services,7245706297344,KOSPI
087010.KQ,"Peptron, Inc.",기타,7187642449920,KOSDAQ
214450.KQ,"PharmaResearch Co., Ltd.",Healthcare,7064928124928,KOSDAQ
010955.KS,S-Oil Corporation,Energy,6939955167232,KOSPI
010950.KS,S-Oil Corporation,Energy,6939926855680,KOSPI
000720.KS,"Hyundai Engineering & Construction Co.,Ltd.",Industrials,6915207725056,KOSPI
000725.KS,"Hyundai Engineering & Construction Co.,Ltd.",Industrials,6915195142144,KOSPI
086520.KQ,"Ecopro Co., Ltd.",기타,6799779954688,KOSDAQ
064400.KS,LG CNS,Technology,6588248096768,KOSPI
