ticker,name,market_cap,price,sector,market
AZN.ST,AstraZeneca PLC,0,0,Unknown,OMX Stockholm
ABB.ST,ABB Ltd,0,0,Unknown,OMX Stockholm
INVE-B.ST,Investor AB (publ),0,0,Unknown,OMX Stockholm
INVE-A.ST,Investor AB (publ),0,0,Unknown,OMX Stockholm
ATCO-A.ST,Atlas Copco AB (publ),0,0,Unknown,OMX Stockholm
ATCO-B.ST,Atlas Copco AB (publ),0,0,Unknown,OMX Stockholm
VOLV-A.ST,AB Volvo (publ),0,0,Unknown,OMX Stockholm
VOLV-B.ST,AB Volvo (publ),0,0,Unknown,OMX Stockholm
NDA-SE.ST,Nordea Bank Abp,0,0,Unknown,OMX Stockholm
EQT.ST,EQT AB (publ),0,0,Unknown,OMX Stockholm
DNBO.ST,DNB Bank ASA,0,0,Unknown,OMX Stockholm
ASSA-B.ST,ASSA ABLOY AB (publ),0,0,Unknown,OMX Stockholm
SEB-A.ST,Skandinaviska Enskilda Banken AB (publ),0,0,Unknown,OMX Stockholm
SEB-C.ST,Skandinaviska Enskilda Banken AB (publ),0,0,Unknown,OMX Stockholm
SAND.ST,Sandvik AB (publ),0,0,Unknown,OMX Stockholm
SWED-A.ST,Swedbank AB (publ),0,0,Unknown,OMX Stockholm
HEXA-B.ST,Hexagon AB (publ),0,0,Unknown,OMX Stockholm
SAMPO-SDB.ST,Sampo Oyj,0,0,Unknown,OMX Stockholm
SAAB-B.ST,Saab AB (publ),0,0,Unknown,OMX Stockholm
KOGO.ST,Kongsberg Gruppen ASA,0,0,Unknown,OMX Stockholm
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),0,0,Unknown,OMX Stockholm
ERIC-A.ST,Telefonaktiebolaget LM Ericsson (publ),0,0,Unknown,OMX Stockholm
HM-B.ST,H & M Hennes & Mauritz AB (publ),0,0,Unknown,OMX Stockholm
SHB-A.ST,Svenska Handelsbanken AB (publ),0,0,Unknown,OMX Stockholm
SHB-B.ST,Svenska Handelsbanken AB (publ),0,0,Unknown,OMX Stockholm
EPI-A.ST,Epiroc AB (publ),0,0,Unknown,OMX Stockholm
EPI-B.ST,Epiroc AB (publ),0,0,Unknown,OMX Stockholm
NOKIA-SEK.ST,Nokia Oyj,0,0,Unknown,OMX Stockholm
ALFA.ST,Alfa Laval AB (publ),0,0,Unknown,OMX Stockholm
ESSITY-A.ST,Essity AB (publ),0,0,Unknown,OMX Stockholm
ESSITY-B.ST,Essity AB (publ),0,0,Unknown,OMX Stockholm
8TRA.ST,Traton SE,0,0,Unknown,OMX Stockholm
EVO.ST,Evolution AB (publ),0,0,Unknown,OMX Stockholm
INDU-A.ST,AB Industrivärden (publ),0,0,Unknown,OMX Stockholm
INDU-C.ST,AB Industrivärden (publ),0,0,Unknown,OMX Stockholm
LATO-B.ST,Investment AB Latour (publ),0,0,Unknown,OMX Stockholm
LIFCO-B.ST,Lifco AB (publ),0,0,Unknown,OMX Stockholm
TELIA.ST,Telia Company AB (publ),0,0,Unknown,OMX Stockholm
LUG.ST,Lundin Gold Inc.,0,0,Unknown,OMX Stockholm
LUND-B.ST,L E Lundbergföretagen AB (publ),0,0,Unknown,OMX Stockholm
TEL2-A.ST,Tele2 AB (publ),0,0,Unknown,OMX Stockholm
TEL2-B.ST,Tele2 AB (publ),0,0,Unknown,OMX Stockholm
SKF-B.ST,AB SKF (publ),0,0,Unknown,OMX Stockholm
SKF-A.ST,AB SKF (publ),0,0,Unknown,OMX Stockholm
SKA-B.ST,Skanska AB (publ),0,0,Unknown,OMX Stockholm
SOBI.ST,Swedish Orphan Biovitrum AB (publ),0,0,Unknown,OMX Stockholm
LUMI.ST,Lundin Mining Corporation,0,0,Unknown,OMX Stockholm
BOL.ST,Boliden AB (publ),0,0,Unknown,OMX Stockholm
ADDT-B.ST,Addtech AB (publ.),0,0,Unknown,OMX Stockholm
ALIV-SDB.ST,"Autoliv, Inc.",0,0,Unknown,OMX Stockholm
SCA-A.ST,Svenska Cellulosa Aktiebolaget SCA (publ),0,0,Unknown,OMX Stockholm
SCA-B.ST,Svenska Cellulosa Aktiebolaget SCA (publ),0,0,Unknown,OMX Stockholm
STE-A.ST,Stora Enso Oyj,0,0,Unknown,OMX Stockholm
TREL-B.ST,Trelleborg AB (publ),0,0,Unknown,OMX Stockholm
STE-R.ST,Stora Enso Oyj,0,0,Unknown,OMX Stockholm
INDT.ST,Indutrade AB (publ),0,0,Unknown,OMX Stockholm
SECU-B.ST,Securitas AB (publ),0,0,Unknown,OMX Stockholm
BALD-B.ST,Fastighets AB Balder (publ),0,0,Unknown,OMX Stockholm
BEIJ-B.ST,Beijer Ref AB (publ),0,0,Unknown,OMX Stockholm
NIBE-B.ST,NIBE Industrier AB (publ),0,0,Unknown,OMX Stockholm
