ticker,name,market_cap,price,sector,market
AZN,AstraZeneca PLC,248007393280.0,"1,516.00",Healthcare,OMX Stockholm
ABB,ABB Ltd,"1,166.75B",642.60,Unknown,OMX Stockholm
INVE.A,Investor AB (publ),901.80B,293.70,Unknown,OMX Stockholm
INVE.B,Investor AB (publ),901.80B,293.40,Unknown,OMX Stockholm
ATCO.A,Atlas Copco AB (publ),714.78B,152.00,Unknown,OMX Stockholm
ATCO.B,Atlas Copco AB (publ),705.95B,133.90,Unknown,OMX Stockholm
VOLV.A,AB Volvo (publ),592.85B,292.80,Unknown,OMX Stockholm
VOLV.B,AB Volvo (publ),592.85B,292.30,Unknown,OMX Stockholm
NDA.SE,Nordea Bank Abp,500.07B,146.60,Unknown,OMX Stockholm
EQT,EQT Corporation,32688418816.0,343.50,Energy,OMX Stockholm
ASSA.B,ASSA ABLOY AB (publ),372.33B,335.80,Unknown,OMX Stockholm
DNBO,DNB Bank ASA,372.12B,268.90,Unknown,OMX Stockholm
SEB.C,Skandinaviska Enskilda Banken AB (publ),346.27B,176.20,Unknown,OMX Stockholm
SEB.A,Skandinaviska Enskilda Banken AB (publ),345.28B,175.05,Unknown,OMX Stockholm
SWED.A,Swedbank AB (publ),301.63B,266.60,Unknown,OMX Stockholm
SAND,Sandstorm Gold Ltd.,3213011968.0,241.40,Basic Materials,OMX Stockholm
SAMPO.SDB,Sampo Oyj,294.78B,109.60,Unknown,OMX Stockholm
HEXA.B,Hexagon AB (publ),288.44B,107.45,Unknown,OMX Stockholm
SAAB.B,Saab AB (publ),288.07B,539.10,Unknown,OMX Stockholm
ERIC.A,Telefonaktiebolaget LM Ericsson (publ),252.54B,76.30,Unknown,OMX Stockholm
ERIC.B,Telefonaktiebolaget LM Ericsson (publ),252.54B,75.34,Unknown,OMX Stockholm
SHB.A,Svenska Handelsbanken AB (publ),246.52B,122.35,Unknown,OMX Stockholm
SHB.B,Svenska Handelsbanken AB (publ),246.52B,208.80,Unknown,OMX Stockholm
KOGO,Kongsberg Gruppen ASA,244.36B,297.55,Unknown,OMX Stockholm
EPI.A,Epiroc AB (publ),233.02B,198.25,Unknown,OMX Stockholm
EPI.B,Epiroc AB (publ),233.02B,175.30,Unknown,OMX Stockholm
HM.B,H & M Hennes & Mauritz AB (publ),226.96B,141.30,Unknown,OMX Stockholm
NOKIA.SEK,Nokia Oyj,223.15B,40.99,Unknown,OMX Stockholm
ALFA,AlphaClone Alternative Alpha ETF,181.00B,436.10,Unknown,OMX Stockholm
ESSITY.B,Essity AB (publ),176.58B,254.90,Unknown,OMX Stockholm
8TRA,Traton SE,176.48B,352.00,Unknown,OMX Stockholm
ESSITY.A,Essity AB (publ),175.10B,256.00,Unknown,OMX Stockholm
EVO,Evotec SE,1246745088.0,850.60,Healthcare,OMX Stockholm
INDU.A,AB Industrivärden (publ),162.85B,377.80,Unknown,OMX Stockholm
INDU.C,AB Industrivärden (publ),162.52B,378.50,Unknown,OMX Stockholm
LATO.B,Investment AB Latour (publ),154.91B,242.10,Unknown,OMX Stockholm
LIFCO.B,Lifco AB (publ),154.43B,340.00,Unknown,OMX Stockholm
TELIA,Telia Company AB (publ),137.86B,35.13,Unknown,OMX Stockholm
LUG,Lundin Gold Inc.,137.71B,572.50,Unknown,OMX Stockholm
LUND.B,L E Lundbergföretagen AB (publ),119.88B,482.00,Unknown,OMX Stockholm
TEL2.A,Tele2 AB (publ),114.89B,164.50,Unknown,OMX Stockholm
TEL2.B,Tele2 AB (publ),114.89B,165.70,Unknown,OMX Stockholm
SKF.A,AB SKF (publ),111.65B,245.00,Unknown,OMX Stockholm
SKF.B,AB SKF (publ),111.11B,244.90,Unknown,OMX Stockholm
SOBI,Swedish Orphan Biovitrum AB (publ),101.89B,291.20,Unknown,OMX Stockholm
SKA.B,Skanska AB (publ),97.46B,235.80,Unknown,OMX Stockholm
LUMI,Lundin Mining Corporation,93.55B,108.80,Unknown,OMX Stockholm
BOL,469208,92.24B,326.90,Unknown,OMX Stockholm
SCA.A,Svenska Cellulosa Aktiebolaget SCA (publ),91.38B,130.40,Unknown,OMX Stockholm
SCA.B,Svenska Cellulosa Aktiebolaget SCA (publ),91.38B,130.80,Unknown,OMX Stockholm
ALIV.SDB,"Autoliv, Inc.",91.08B,"1,175.00",Unknown,OMX Stockholm
ADDT.B,Addtech AB (publ.),90.79B,336.40,Unknown,OMX Stockholm
STE.A,Stora Enso Oyj,89.01B,119.50,Unknown,OMX Stockholm
STE.R,Stora Enso Oyj,88.10B,117.30,Unknown,OMX Stockholm
INDT,Indutrade AB (publ),86.85B,240.20,Unknown,OMX Stockholm
SECU.B,Securitas AB (publ),84.91B,145.20,Unknown,OMX Stockholm
TREL.B,Trelleborg AB (publ),83.06B,365.70,Unknown,OMX Stockholm
BALD.B,Fastighets AB Balder (publ),82.59B,69.40,Unknown,OMX Stockholm
BEIJ.B,Beijer Ref AB (publ),81.99B,162.00,Unknown,OMX Stockholm
NIBE.B,NIBE Industrier AB (publ),81.11B,39.71,Unknown,OMX Stockholm
SAGA.A,AB Sagax (publ),75.09B,212.00,Unknown,OMX Stockholm
SAGA.B,AB Sagax (publ),75.09B,210.80,Unknown,OMX Stockholm
SAGA.D,AB Sagax (publ),75.09B,34.15,Unknown,OMX Stockholm
