0,1,2,3,4
AAPL,Apple Inc,Technology,3000000000000,NASDAQ
MSFT,Microsoft Corp,Technology,2800000000000,NASDAQ
GOOGL,Alphabet Inc Class A,Technology,1700000000000,NASDAQ
AMZN,Amazon.com Inc,Consumer Discretionary,1500000000000,NASDAQ
NVDA,NVIDIA Corp,Technology,1900000000000,NASDAQ
TSLA,Tesla Inc,Consumer Discretionary,800000000000,NASDAQ
META,Meta Platforms Inc,Technology,750000000000,NASDAQ
BRK-B,Berkshire Hathaway Inc Class B,Financial Services,700000000000,NYSE
UNH,UnitedHealth Group Inc,Healthcare,450000000000,NYSE
JNJ,Johnson & Johnson,Healthcare,420000000000,NYSE
V,Visa Inc Class A,Financial Services,400000000000,NYSE
PG,Procter & Gamble Co,Consumer Staples,380000000000,NYSE
JPM,JPMorgan Chase & Co,Financial Services,450000000000,NYSE
HD,Home Depot Inc,Consumer Discretionary,350000000000,NYSE
MA,Mastercard Inc Class A,Financial Services,340000000000,NYSE
BAC,Bank of America Corp,Financial Services,300000000000,NYSE
XOM,Exxon Mobil Corp,Energy,280000000000,NYSE
CVX,Chevron Corp,Energy,270000000000,NYSE
ABBV,AbbVie Inc,Healthcare,260000000000,NYSE
WMT,Walmart Inc,Consumer Staples,450000000000,NYSE
LLY,Eli Lilly and Co,Healthcare,500000000000,NYSE
KO,Coca-Cola Co,Consumer Staples,250000000000,NYSE
AVGO,Broadcom Inc,Technology,550000000000,NASDAQ
PEP,PepsiCo Inc,Consumer Staples,230000000000,NASDAQ
COST,Costco Wholesale Corp,Consumer Staples,220000000000,NASDAQ
ORCL,Oracle Corp,Technology,300000000000,NYSE
ADBE,Adobe Inc,Technology,250000000000,NASDAQ
MRK,Merck & Co Inc,Healthcare,240000000000,NYSE
CRM,Salesforce Inc,Technology,220000000000,NYSE
NFLX,Netflix Inc,Communication Services,200000000000,NASDAQ
TMO,Thermo Fisher Scientific Inc,Healthcare,210000000000,NYSE
ACN,Accenture PLC Class A,Technology,200000000000,NYSE
WFC,Wells Fargo & Co,Financial Services,180000000000,NYSE
DIS,Walt Disney Co,Communication Services,190000000000,NYSE
CSCO,Cisco Systems Inc,Technology,190000000000,NASDAQ
ABT,Abbott Laboratories,Healthcare,185000000000,NYSE
NKE,Nike Inc Class B,Consumer Discretionary,175000000000,NYSE
VZ,Verizon Communications Inc,Communication Services,170000000000,NYSE
INTC,Intel Corp,Technology,160000000000,NASDAQ
COP,ConocoPhillips,Energy,155000000000,NYSE
CMCSA,Comcast Corp Class A,Communication Services,150000000000,NASDAQ
INTU,Intuit Inc,Technology,145000000000,NASDAQ
TXN,Texas Instruments Inc,Technology,140000000000,NASDAQ
PM,Philip Morris International Inc,Consumer Staples,135000000000,NYSE
HON,Honeywell International Inc,Industrials,130000000000,NASDAQ
IBM,International Business Machines Corp,Technology,125000000000,NYSE
UNP,Union Pacific Corp,Industrials,120000000000,NYSE
AMD,Advanced Micro Devices Inc,Technology,230000000000,NASDAQ
GE,General Electric Co,Industrials,115000000000,NYSE
MDT,Medtronic PLC,Healthcare,110000000000,NYSE
CAT,Caterpillar Inc,Industrials,140000000000,NYSE
RTX,Raytheon Technologies Corp,Industrials,135000000000,NYSE
QCOM,Qualcomm Inc,Technology,180000000000,NASDAQ
LOW,Lowe's Companies Inc,Consumer Discretionary,130000000000,NYSE
UPS,United Parcel Service Inc Class B,Industrials,125000000000,NYSE
SBUX,Starbucks Corp,Consumer Discretionary,110000000000,NASDAQ
LMT,Lockheed Martin Corp,Industrials,105000000000,NYSE
GS,Goldman Sachs Group Inc,Financial Services,100000000000,NYSE
AXP,American Express Co,Financial Services,120000000000,NYSE
BLK,BlackRock Inc,Financial Services,115000000000,NYSE
ISRG,Intuitive Surgical Inc,Healthcare,105000000000,NASDAQ
T,AT&T Inc,Communication Services,140000000000,NYSE
SPGI,S&P Global Inc,Financial Services,130000000000,NYSE
C,Citigroup Inc,Financial Services,100000000000,NYSE
BKNG,Booking Holdings Inc,Consumer Discretionary,130000000000,NASDAQ
MS,Morgan Stanley,Financial Services,140000000000,NYSE
GILD,Gilead Sciences Inc,Healthcare,85000000000,NASDAQ
AMT,American Tower Corp,Real Estate,95000000000,NYSE
MU,Micron Technology Inc,Technology,85000000000,NASDAQ
PYPL,PayPal Holdings Inc,Financial Services,70000000000,NASDAQ
CVS,CVS Health Corp,Healthcare,90000000000,NYSE
ZTS,Zoetis Inc,Healthcare,85000000000,NYSE
AMAT,Applied Materials Inc,Technology,90000000000,NASDAQ
SYK,Stryker Corp,Healthcare,85000000000,NYSE
TJX,TJX Companies Inc,Consumer Discretionary,80000000000,NYSE
BSX,Boston Scientific Corp,Healthcare,75000000000,NYSE
MDLZ,Mondelez International Inc Class A,Consumer Staples,90000000000,NASDAQ
BDX,Becton Dickinson and Co,Healthcare,70000000000,NYSE
ADI,Analog Devices Inc,Technology,85000000000,NASDAQ
DE,Deere & Co,Industrials,110000000000,NYSE
PLD,Prologis Inc,Real Estate,95000000000,NYSE
AON,Aon PLC Class A,Financial Services,70000000000,NYSE
ADP,Automatic Data Processing Inc,Technology,90000000000,NASDAQ
MMC,Marsh & McLennan Companies Inc,Financial Services,85000000000,NYSE
CME,CME Group Inc Class A,Financial Services,75000000000,NASDAQ
ICE,Intercontinental Exchange Inc,Financial Services,70000000000,NYSE
SHW,Sherwin-Williams Co,Materials,65000000000,NYSE
CL,Colgate-Palmolive Co,Consumer Staples,65000000000,NYSE
DUK,Duke Energy Corp,Utilities,75000000000,NYSE
SO,Southern Co,Utilities,70000000000,NYSE
TGT,Target Corp,Consumer Discretionary,75000000000,NYSE
FIS,Fidelity National Information Services Inc,Technology,60000000000,NYSE
USB,U.S. Bancorp,Financial Services,65000000000,NYSE
PNC,PNC Financial Services Group Inc,Financial Services,60000000000,NYSE
GD,General Dynamics Corp,Industrials,65000000000,NYSE
SCHW,Charles Schwab Corp,Financial Services,120000000000,NYSE
FDX,FedEx Corp,Industrials,65000000000,NYSE
TFC,Truist Financial Corp,Financial Services,55000000000,NYSE
GM,General Motors Co,Consumer Discretionary,50000000000,NYSE
F,Ford Motor Co,Consumer Discretionary,45000000000,NYSE
